CO,NO2,Ozone,SO2
4.3,91.18,28.79,27.65
2.13,109.15,154.74,102.17
4.87,94.81,83.56,62.93
5.71,110.75,62.08,48.78
5.32,91.2,72.24,53.36
3.71,93.17,41.23,29.25
1.71,65.52,62.6,28.86
3.64,139.85,50.18,36.59
4.54,139.68,35.2,30.26
1.71,89.27,92.13,61.19
6.33,89.26,81.74,61.6
3.3,101.91,55.48,37.53
1.95,76.85,89.52,59.12
2.68,103.15,66.45,31.83
2.45,100.11,52.43,28.9
2.45,102.18,79.21,29.43
5.25,103.04,16.74,46.29
12.12,128.78,5.4,39.81
4.81,76.84,46.34,38.51
5.34,107.55,36.85,40.49
5.29,113.89,33.86,43.64
5.04,95.3,47.73,38.02
4.75,94.76,46.4,41.03
5.22,105.47,39.52,47.27
5.62,106.54,39.03,51.71
2.35,91.71,39.03,29.93
2.4,84.75,51.02,44.67
2.86,94.35,42.36,29.46
2.24,60.58,33.84,23.74
2.42,112.69,32.96,48.71
5.88,88.32,41.17,46.67
3.04,82.54,59.42,24.45
2.45,85.33,14.8,49.67
2.92,74.65,16.84,32.57
1.69,79.47,19.98,23.28
6.02,65.95,23.02,54.92
6.23,67.73,25.24,48.86
4.37,54.32,26.09,37.3
5.33,58.78,21.57,39.49
5.76,67.41,21.82,35.84
2.57,76.46,24.66,26.91
3.41,87.7,14.36,33.86
2.58,73.23,13.2,35.25
1.66,77.25,19.29,31.99
2,102.54,63,57.58
6.02,93.24,58.86,47.23
1.74,100.62,74.95,28.13
2.02,77.2,68.3,28.87
2.02,85.13,75.14,41.23
2.72,88.36,68.95,38.74
1.37,82.06,88.58,31.62
1.45,89.88,71.52,36.88
2.13,96.18,53.69,35.1
4.55,81.63,51.37,40.04
4.4,115.15,46.44,42.4
3.03,80.66,53.93,50.1
2.57,94.62,60.68,34.22
5.89,96.71,17.02,68.02
4.56,112.14,43.08,45.34
7.89,125.64,16.63,54.1
7.15,91.13,43.75,39.43
5.91,75.97,37.43,36.79
1.78,74.18,33.98,30.96
2.06,83.99,57.44,28.16
5.37,58.25,77.95,46.77
4.77,68.3,70.3,48.53
2.7,86.53,67.53,25.9
1.67,76.16,47.27,20.45
1.63,67.07,26.34,19.96
0.91,51.88,58.83,17.73
1.1,74.02,50.18,28.16
3.04,83.42,53,30.64
2.39,93.26,27.53,24.69
1.64,81.89,72.1,30.53
1.82,78.8,80.84,24.2
3.37,89.99,79.01,34.83
3.16,87.64,94.46,27.03
3.48,100.93,75.41,33.26
1.64,85.41,57.34,29.12
2.65,101.79,55.09,26.88
2.93,87.27,67.39,24.54
4.74,93.3,34.62,52.42
4.04,110.44,47.28,38.04
3.9,123.01,48.64,45.14
6.81,111.57,43.92,39.84
1.35,84.08,48.16,25.47
1.47,92.86,59.33,25.91
1.86,92.55,63.4,45.96
1.32,95.29,62.17,34.53
2.77,99.37,74.21,61.51
4.55,85.88,67.39,49.45
2.11,109.35,38.61,28.29
1.57,72,48.88,28.44
1.92,80.27,59.99,30.79
2.76,93.01,77.86,40.34
2.72,76.75,74.93,27.82
2.73,99.01,49.22,39.52
1.77,94.84,33.39,30.75
1.28,63.37,62.42,27.66
1.69,84.15,64.22,30.52
1.62,90.78,68.38,39.45
1.62,106.48,57.79,41.08
1.85,100.71,26.6,40.93
1.94,77.46,31.18,44.15
2.94,65.57,22.83,33.66
0.88,30.73,60.93,17.89
0.88,44.93,93.75,28.19
1.08,76.62,80.42,60.87
3.65,128.7,43.29,95.35
3.34,127.19,54.59,29.71
1.62,69.04,79.27,21.47
3.85,116.24,75.37,41.44
3.5,95.78,68.2,37.93
4.19,103.84,82.02,3.72
3.67,113.32,81.24,10.12
2.05,88.78,74.49,10.16
1.33,65.78,64.24,27.56
1.18,52.7,83.4,79.48
1.62,69.13,78.03,101.27
0.62,48.78,127.64,44.25
2.92,74.91,64.62,74.56
0.77,33.63,158.46,108.56
1.11,69.08,71.89,38.49
1.21,77.61,64.35,98.09
3.54,103.34,59.96,27.18
2.44,65,74.5,29.95
1.49,63.01,73.97,26.82
1.5,29.24,123.41,21.87
1.5,46.55,112.58,32.09
1.32,76.1,86.3,32.37
2.63,91.98,87.14,35.02
1.87,75.58,34.86,30.65
0.79,42.11,88.34,26.72
1.11,69.89,88.5,45
1.01,69.25,98.34,45.97
3.55,103.19,60.1,37.78
1.02,69.79,96.6,44.58
1.1,62.88,73.99,30.22
0.57,36.92,118.57,29.67
0.75,48.14,111.83,39.26
1.87,72.2,80.91,55.57
1.7,81.6,82.56,56.1
5.43,135.09,26.51,51.91
0.34,20.7,120.04,22.92
0.87,55.88,66.82,33.06
2.72,93.65,74.49,52.57
1.82,67.15,80.24,49.61
0.75,47.06,117.38,35.47
1.19,78.86,92.77,46.24
0.87,60.5,110.69,37.03
2.9,97.26,136.51,56.25
1.92,86.34,147.13,45.51
3.6,129.58,132.71,44.43
4.38,141.62,125.08,38.66
3.24,108.75,130.42,60.77
3.1,104.63,135.34,58.78
4.61,178.68,61.55,45.8
1.11,88.28,140.38,39.8
1.31,95.64,52.24,43.1
1.21,74.46,57.01,34.96
0.65,53.5,90.75,30.47
1.27,77.64,109.29,28
1.58,97.5,97.43,39.61
1.13,63.39,74.23,32.72
1.05,65.36,80.26,36.62
1.03,69.32,111.33,29.44
1.15,62.6,73.72,21.54
1.43,96.66,79.71,26.38
1.24,77.32,107.39,26.98
3.35,140.14,128.07,49.07
2.06,98.11,83.48,36.07
1.26,81.33,88.9,54.82
1.76,113.45,73.46,53.83
2.4,103.83,64.11,60.13
32.19,58.17,45.44,24.47
1.5,64.61,20.25,19.27
1,44.1,47.22,20.29
1.06,75.99,57.06,30.32
0.67,43.38,50.81,21.34
1.38,81.24,36.56,19.13
0.87,65.53,40.5,16.53
0.86,69.49,85.37,21.64
0.81,57.02,42.53,22.67
0.93,46.08,94.33,16.81
0.77,43.86,64.03,16.14
1.66,69.1,61.52,13.12
0.79,49.59,57.13,14.85
0.9,64.77,70.68,21.73
1.87,93.32,106.94,27.16
2.21,101.56,86.53,20.14
1.5,63.56,45.75,17.05
0.91,47.66,61.42,16.24
1.91,61.22,30.47,17.44
4.56,76.15,47.44,24.48
0.98,59.29,33.03,17.81
1.09,58.84,48.48,27.02
0.78,55.18,64.66,16.27
0.69,42.21,83.51,16.88
0.82,47.11,41.58,19.55
0.54,31.76,39.93,12.16
1.22,62.49,18.47,15.83
0.86,43.66,17.24,14.05
0.84,46.35,29.97,16.75
1.15,51.58,18.05,15.13
1.02,47.92,12.71,9.97
1.26,43.31,42.28,13.18
1.18,45.92,34.71,14.78
1.12,47.18,39.74,15.11
1.43,54.9,37.37,17.83
0.8,44.05,36.48,3.51
1.02,52.92,38.1,8.46
0.94,51.79,27.79,9.08
0.96,43.84,26.95,8.63
0.87,34.73,37.38,8.17
0.94,47.29,33.85,7.77
0.97,52.86,32.21,8.81
1.05,55.31,45.07,9.15
1.26,51.82,25.19,9.94
1.29,59.13,29.42,8.89
0.78,30.55,10.52,7.41
1.06,53.01,19.99,10.98
1.21,56.29,21.01,8.7
0.8,37.07,23.02,9.45
0.87,48.5,23.05,9.59
0.81,39.93,22.13,8.95
0.8,46.91,24.36,13.96
0.9,47.17,43.88,13.84
1.11,46.39,21.13,9.45
0.9,40.16,21.26,8.19
0.68,24.49,24.2,6.76
0.84,40.82,22.8,8.11
1.02,39.13,13.04,10.57
0.78,37.45,18.19,11.39
0.91,41.44,21.72,8.48
1.86,42.16,21.68,9.87
0.78,29.27,27.01,8.45
1.18,54.47,59.03,10.01
1.58,69.51,41.33,9.27
1.2,52.03,30.89,7.95
0.91,38.75,22.09,6.69
1.22,44.22,46.37,9.77
1.44,53.16,113.19,6.66
0.94,36.99,22.56,9.57
1.01,39.45,22.97,9.25
0.84,40.09,21.25,8.44
0.82,33.7,26.93,7.7
1.01,38.62,24.63,9.44
0.85,34.73,21.64,8.35
