CO,NO2,Ozone,SO2
1.01,48.63,86.83,22
1.27,51.1,86.45,7.33
1.38,52.65,46.78,13.93
1.46,39.39,82.34,15.63
2.01,66.79,63.91,17.24
2.84,94.04,45.95,20.67
2.01,76.57,54.58,20.67
1.85,53.76,76.8,10.47
2.01,89.66,46.1,13.36
1.15,68.24,57.45,10.74
1.48,108.62,57,22.71
2.84,130.41,66.2,23.18
2.82,59.36,85.08,4.1
1.12,36.63,86.37,8.56
0.91,56.98,78.15,20.54
1.11,76.07,60,18.48
0.63,73.74,36.25,18.67
1.13,81.81,59.63,33.24
1.86,86.47,44.94,28.69
0.86,63.69,63.41,26.76
1.31,85.74,62.54,34.63
1.19,97.02,59.42,37.01
2.32,126.22,33.74,46.73
1.88,119.43,43.04,39.72
2.2,105.25,53.93,32.58
1.67,94.56,55.51,41.56
3.18,111.61,12.45,35.45
0.97,66.3,123.71,32.11
2.27,92.16,61.81,31.47
0.94,56.71,79.07,25.54
0.92,71.01,66.8,22.87
0.95,71.94,63.84,28.07
0.7,49.47,84.42,26.45
0.77,40.36,101.97,23
0.84,50.59,73.98,20.43
0.8,44.24,73.32,20.43
0.91,58.53,59.55,21.19
0.22,66.45,10.02,8.91
0.97,53.63,62.65,19.96
0.71,35.06,51.94,16.07
1.02,60.34,62.84,21.03
1.01,66.02,31.01,13.44
0.67,61.27,27.38,18.18
0.58,36.87,17.46,18.6
0.51,25.06,18.54,20.2
0.59,25.28,21.03,18.48
0.8,28.37,20.14,20.83
0.71,32.21,26.36,19.15
0.61,44.46,26.67,16.31
0.52,41.87,43.32,20.92
0.45,75.37,30.21,17.42
0.88,81.16,33.66,22.58
0.76,89.33,52.07,20.87
0.47,112.59,30.82,27.44
1,109.36,41.91,27.17
0.9,96.75,34.75,22.25
0.54,65.85,26.18,19.84
0.89,64.45,21.76,15.84
0.74,57.43,19.74,15.4
0.84,68.83,20.54,16.43
1.13,64.83,21.88,15.17
0.54,36.75,25.85,15.67
0.78,57.94,28.8,17.48
0.78,56.88,26.17,16.83
0.86,79.58,24.66,15.26
0.97,100.48,21.22,16.81
0.91,56.32,36.74,17.6
1.13,95.86,43.23,15.99
1,75.66,45.48,16.95
0.73,47.16,32.86,16.05
0.87,36.42,26.78,14.69
0.74,35.43,24.31,14.87
0.97,44.35,12.08,15.26
0.72,31.56,17.13,15.47
0.86,37.42,15.01,16.68
1.37,39.87,13.95,16.64
0.79,46.57,14,15.45
0.69,36.71,16.54,16.09
0.82,42.26,13.15,15
1.2,57.03,22.93,16.99
0.8,38.85,16.89,15.04
0.98,55.98,15.75,15.75
0.72,7.09,13.6,17.47
1.05,25.46,13.65,14.74
1.07,6.6,17.93,15.28
0.92,4.73,23.57,14.62
0.76,4.52,25.69,14.76
1.03,5.89,21.52,15.77
0.76,9.5,26.38,16.1
0.99,18.69,21.42,16.26
0.7,20.11,20.25,14.83
0.77,31.28,22.22,16.04
0.87,23.91,17.33,14.33
0.92,8.68,15.13,14.58
1.06,10.64,23.38,14.68
1.11,10.64,19.23,14.99
1.32,13.65,29.08,16.71
1.31,16.12,29.42,15.96
1.68,11.38,24.16,13.22
1.07,10.54,22.64,16.06
1.13,50.6,23.77,14.89
1.19,68.74,34.27,15.03
1.83,56.87,32.5,15.46
1.07,51.01,30.43,15.77
1.18,37.85,28.18,14.45
0.75,17.88,27.66,13.74
1.09,29.24,22.65,14.85
1.25,23.98,41.1,14.28
0.64,16.5,29.11,13.36
0.83,17.59,26.16,15.94
0.77,14.52,18.23,15.02
0.58,13.96,19.14,14.62
0.77,13.63,20.82,16.3
0.57,8.42,25.6,16.15
0.82,16.86,19.18,16.38
0.84,13.11,9.63,16.93
0.98,7.58,22.84,15.83
0.9,10.27,17.6,17.17
1.06,15.19,12.2,16.49
1.38,13.42,31.81,16.65
1.02,16.01,14.81,16.14
1.4,15.86,27.07,17
0.77,11.2,17.9,16.38
1.07,11.21,25.83,16.96
1.04,17.49,26.49,16.46
1.04,13.64,14.83,16.25
0.73,7.82,21.77,16.9
0.63,7.09,24.62,16.91
0.66,7.76,20.99,17.06
0.73,10.27,17.68,16.48
0.58,8.68,19.03,17.07
0.67,10.19,21.1,17.36
1.19,13.94,23.22,17.3
0.99,21.3,20.88,18.73
0.47,8.75,37.36,16.26
0.74,10.57,38.11,16.63
0.89,14.92,45.58,17.11
1.18,33.38,52.33,16.31
1.43,43.74,27.8,17.82
0.77,27.76,18.15,18.27
0.73,22.98,26.63,16.05
0.75,61.91,15.99,16.53
0.65,47.57,24.6,16.28
0.89,49.55,30.15,16.45
1.1,58.69,38.93,16.82
2.2,60.39,36.04,18.97
3.07,70.11,36.89,16.24
1.21,67.22,41.18,16.03
1.45,74.51,44.37,16.67
1.99,72.27,37.07,16.14
1.3,84.9,21.45,17.68
1.88,79.42,5.27,15.57
2.08,122.39,49.87,16.98
1.78,86.92,37.55,17.28
1.98,83.2,45.75,18.92
2.19,92.43,48.84,19.83
2.17,102.42,60.58,21.35
2.33,72.24,41.8,21.94
1.32,72.27,39.43,17.79
1.11,71.99,38.09,22.81
1.82,71.75,47.64,21.49
1.79,73.58,49.11,20.56
2.77,76.56,61.55,19.24
2.09,71.84,45.92,17.79
2.91,61.26,32.82,17.44
2.09,87.88,38.06,18.92
1.71,110.54,47.11,20.84
3.18,126.16,41.61,21.57
0.85,104.19,41.26,20.53
1.87,109.86,40.99,19.1
2.9,116.53,48.72,13.45
3.36,122.76,38.32,15.24
3.44,86.21,28.9,13.57
3.26,55.69,37.25,10.22
2.7,42.62,44.88,9.31
1.62,51.36,36.52,8.89
2.75,56.05,33.37,7.96
2.87,47.66,39.75,7.13
3.04,52.72,35.78,6.49
2.92,53.47,37.03,6.44
1.9,53.21,20.82,6.4
0.64,54.22,13.4,6.03
1.37,71.76,27.4,5.99
1.06,67.72,42.58,4.77
0.88,56.5,50.86,4.67
2.27,64.34,23.66,18.77
2.73,66.96,41.4,8.77
2.67,69.62,32.29,7.57
2.91,98.03,72.35,6.07
3.1,132.74,65.31,7.5
2.26,151.12,54.4,6.64
1.72,94.84,41.61,5.24
1.93,85.44,33.36,4.99
1.28,81.33,43.22,4.22
1.13,98.65,36.02,4.68
2.06,93.07,37.66,5.91
1.81,103.73,38.16,5.02
1.81,110.23,35.71,5.73
1.73,121.18,38.51,5.7
1.7,126.82,28.1,7.68
2.48,126.01,35.32,7.27
0.95,84.09,26.46,5.71
1.17,101.51,23.56,7.21
1.95,119.57,30.45,10.72
1.3,98.13,30.87,7.82
2.41,92.64,26.58,6.14
2.92,102.46,27.58,8.27
1.6,108.96,25.38,4.97
1.69,104.5,24.34,5.49
2.82,91.47,27.06,7.23
2.73,108.73,27.56,6.7
3.22,117.44,27.66,6.43
0.76,104.7,23.71,4.38
0.87,113.62,27.04,6.54
2.75,98.02,23.59,5.75
2.77,99.73,24.07,5.53
3.45,111.54,26,6.91
3.4,103.32,27.19,6.7
2.05,99.42,32.15,8.59
3.04,86.59,42.24,12.89
2.08,70.9,35.83,14.69
1.53,76.13,35.61,14.44
1.39,77.97,34.49,14.4
2.65,80.79,35.55,16.1
0.86,92.06,37.01,16.6
2.95,102.44,99.61,25.68
1.54,101.98,77.56,22.34
2.8,97.74,109.21,21.82
2.7,100.33,101.35,19.41
3.35,128.88,110.53,21.53
3.67,94.19,146.41,19.97
2.32,94.27,127.33,20.67
2.97,87.78,102.5,17.76
0.97,92.99,66.41,18.39
3.82,84.7,86.58,21.17
1.12,63.63,59.42,18.2
0.77,61.5,54.84,20.41
2,61.84,81.99,23.28
3.09,53.8,75.83,21.8
2.47,48.49,55.26,21.03
2.73,47.83,60.87,20.87
2.02,57.55,57.43,20.47
0.93,56.94,30.05,17.07
0.4,51.77,40.36,18.29
1.22,53.43,12.14,17.4
1.82,38.66,13.98,17.04
0.49,42.44,14.32,17.88
1.32,46.54,14.45,18.47
0.68,62.64,14.51,21.88
1.13,77,13.46,21.13
1.51,76.13,14.03,18.11
1.32,97.93,10.6,17.03
1.68,79.67,9.91,15.12
5.36,53.32,14.58,21.53
0.85,62.16,14,18.29
1.26,66.79,22.37,11.9
1.42,69.1,15.18,5.19
2.13,98.06,12.17,8.52
1.53,71.64,15.37,6.17
1.78,65.4,14.92,6.81
1.49,54.02,20.11,7.83
1.09,78.78,16.38,11.31
1.57,96.13,12.99,6.62
1.18,88.35,13.77,7.63
1.42,88.52,11.92,3.22
1.73,70.41,13.76,12.2
2.37,82.43,13.12,7.79
1.86,108.11,9.43,7.96
1.9,113.27,11.12,10.03
2.2,61.52,22.33,7.43
2.11,61.59,15.64,8.34
3.11,76.95,13.45,7.54
3.34,82.06,14.35,9.29
2.06,96.49,13.22,7.8
2.56,82.64,12.87,7.28
1.45,88.44,11.19,4.68
1.1,52.86,19.17,5.33
1.35,75.03,13.71,3.32
2.25,97.71,12.87,7.02
1.76,91.44,12.72,6.69
1.77,69.32,20.58,7.88
1.34,64.4,62.04,6.34
1.93,71.76,57.91,9.73
0.92,70.6,80.45,14.19
1.37,78.52,50.22,9.62
1.94,70.43,54.56,6.83
1.5,75.9,55.61,7.14
1.03,58.67,62.31,6.63
0.96,62.21,74.53,7.63
1.21,67.39,62.92,7.09
1.26,65.16,49.48,8.31
1.32,69.46,44.86,7.2
1.34,73.23,61.45,8.97
1.75,85.41,63.32,9.07
2.21,80.29,47.69,10.37
1.8,76.45,52.29,7.08
1.21,75.86,45.83,7.96
1.28,64.38,62.56,13.41
1.36,81.58,57.76,11.63
1.41,85.42,51.49,10.66
1.23,87.05,56.99,11.76
2.01,92.8,57.42,14.98
1.3,75.41,48.75,12.05
1.24,57.83,53.16,6.99
1.45,67.84,59.92,9.23
2.19,76.15,49.52,11.13
1.44,67.86,51.65,12.35
1.61,61.34,50.31,11.34
1.39,59.63,46.81,10.85
1.39,61.67,46.07,11.02
1.31,63.67,45.85,11.86
2.03,69.04,39.53,11.4
1.19,32.26,62.8,6.27
1.2,47.77,63.68,8.05
1.32,63.36,56.95,14.35
1.42,77.27,63.8,19.5
2.16,83.59,59.95,16.11
1.85,88.15,58.19,15.15
2.71,85.26,51.4,14.09
2.06,73.87,71.43,9.5
1.94,76.68,74.43,9.26
0.22,79.57,55.34,12.21
0.69,74.54,47.8,18.12
1.41,65.17,61.05,15.81
1.19,82.76,50.56,12.31
2.42,74.95,87.82,12.55
1.68,96.25,50.37,11.11
1.68,94.09,53.16,10.55
1.38,66.41,75.83,11
1.62,77.81,49.76,8.88
1.16,36.1,128.99,6.63
1.95,85.66,59.64,10.58
2.45,85.66,41,10.92
2.68,79.04,42.49,10.09
1.92,68.28,46.3,6.8
1.68,64.72,51.41,6.53
1.72,62.42,57.82,7.42
1.44,59.41,70.5,7.51
1.97,91.33,71.35,12.12
1.16,40.05,81.42,4.37
2.02,88.73,40.37,5.97
0.91,74.41,50.3,4.53
1.76,65.3,48.16,4.47
1.68,44.61,53.08,2.7
1.65,51.86,75.58,5.77
1.86,70.66,49.27,7.52
1.5,62.63,62.22,8.35
1.27,60.48,41.63,4.75
1.84,77.66,55.86,5.43
1.36,49.18,31.76,3.12
1.39,44.81,60.88,4.77
1.38,51.06,75.34,4.67
1.73,67.48,63.6,6.81
1.8,71.58,66.16,9.07
1.69,72.51,71.8,8.82
2.8,81.4,56.11,7.36
2.18,60.36,60.95,7.85
2.59,77.57,41.06,6.55
1.56,45.85,66.4,3.55
1.5,38.38,60.33,2.58
1.4,33.55,85.69,2.87
1.68,49.2,73.08,3.28
1.71,54.75,52.53,4.79
1.48,43.89,84.9,2.84
1.54,65.88,82.11,2.53
2.34,85.65,60.93,3.98
2.2,85.57,51.92,4.29
2.44,77.28,38.24,7.3
2.13,57.34,54.56,7.94
1.37,35.45,65.16,5.48
1.6,43.2,70.48,6.88
2.17,76.72,61.28,10.01
1.33,31.08,51.76,6.19
1.39,31.17,42.6,5.37
1.45,42.31,54.68,6.59
1.89,67.63,52.67,6.27
1.26,31.06,74.63,5.77
1.52,55.56,74.13,5.36
1.81,69.79,77.09,7.18
1.63,54.68,44.51,6.33
1.38,34.5,47.62,5.07
1.33,39.64,61.74,6.67
1.38,57.16,63.62,5.2
1.78,63.18,55.68,6.82
1.4,52.87,43.04,6.77
1.35,38.44,44.32,6.53
1.6,46.62,37.53,5.88
1.53,45.78,61.42,4.94
1.4,46.13,66.36,4.7
1.44,34.83,40.81,5.86
1.49,36.28,31.32,7.2
1.68,56.66,21.03,4.6
1.51,35.44,31.67,5.26
1.56,34.54,38.09,5.18
1.61,50.77,33.78,7.47
1.61,42.35,18.51,5.14
1.49,36.56,17.45,5.6
1.42,35.82,20.33,5
1.51,34.8,18.03,5.79
1.51,31.37,22.36,5.51
1.45,32.85,21.91,4.91
1.47,42.23,23.24,5.83
1.62,49.67,23.99,5.75
1.48,40.25,35.04,5.62
1.61,42.32,30.07,5.95
2.08,41.4,46.1,9.13
1.71,53.11,33.3,6.46
1.76,45.89,37.32,4.69
1.97,44.09,22.62,6.18
2.05,52.49,36.36,6.14
1.72,64.12,32.1,5.56
1.54,34.35,21.11,5.81
1.73,40.6,19.04,5.25
1.49,36.3,25.2,5.48
1.57,30.19,18.08,5.2
1.54,31.67,19.76,5.23
1.56,39.82,18.74,5.46
1.6,37.89,24.57,5.9
1.55,36.34,25.85,4.79
1.59,38.41,23.27,5.74
1.7,43.18,23.05,4.41
1.66,40.67,28.57,5.52
1.91,36.79,22.6,5.99
1.64,40.93,15.11,4.93
1.94,43.34,23.18,6.33
1.53,36.16,17.85,5.78
1.52,35,17.03,6.25
1.43,25.16,20.55,5.19
1.42,25.33,22.62,5.77
1.49,29.54,20.36,5.45
1.7,33.12,17.08,5.54
1.66,38.09,33.78,5.82
2.09,41.59,16.69,6.02
1.48,28.69,17.87,6.11
1.46,20.94,12.2,4.73
1.39,17.06,15.58,5.35
1.45,26.01,40.97,4.11
1.8,37.19,22.03,5.1
1.61,39.25,29.69,6.18
1.79,45.6,25.85,6.71
1.69,40.33,30.11,5.99
2.34,43.96,28.41,6.55
1.54,33.69,27.03,4.74
1.5,32.73,21.89,5.54
1.62,37.98,26.34,6.11
1.66,38.72,26.41,6.51
1.58,33.65,30.85,6.27
1.53,30.62,34.51,6.06
1.8,42.09,38.29,6.77
2.04,53.22,27.53,7.05
1.68,40.15,55.31,18.03
1.87,60.22,39.79,16.59
1.78,62.79,38.05,7.43
1.58,32.66,30.66,3.84
1.6,34.91,29.6,6.16
1.56,33.09,33.19,6.45
1.63,35.39,41.61,5.5
1.84,43.4,37.56,6.77
1.94,46.02,51.29,6.74
2,54.26,59.66,6.28
1.92,53.06,29.05,6.67
1.54,30.26,27.34,5.61
1.52,31.21,40.5,8.15
1.58,27.16,35.84,6.08
1.74,36.88,56.89,6.94
1.78,59.34,59.79,5.61
1.48,42.2,50.57,4.9
1.48,26.62,39.81,7.51
1.5,34.39,34.37,6.69
1.61,37.38,40.81,6.53
1.61,35.95,27.24,6.14
1.51,35.26,38.37,5.47
1.48,42.22,38.93,6.06
1.3,41.87,40.14,6.2
0.84,31.97,27.07,6.17
0.7,12.86,23.26,4.26
0.89,10.95,24.59,2.46
2.42,0.4,34.48,2.89
0.82,0.92,39.82,5.45
0.86,0.5,52.83,3.36
1.62,0.28,59.59,5.46
0.92,22.46,49.04,3.44
1.26,46.19,50.64,3.94
1.35,52.47,64.98,4.23
0.98,54.35,44.97,3.24
0.56,41.56,56.49,3.09
1.91,47.16,64.14,4.52
2.13,69.58,73.5,5.65
0.4,73.5,67.79,3.47
0.42,69.96,59.16,5.1
0.36,68.96,53.32,4.85
0.42,62.26,52.68,5.53
0.97,65.04,63.28,6.81
1.31,76.19,68.26,9.28
1.27,69.83,43.62,7.84
1.75,63.14,38.75,9.35
0.47,56.55,52.38,10.74
0.93,33.97,41.37,8.28
0.67,30.99,45.36,8.34
0.11,31.54,43.17,8.87
1.45,45.11,20.42,7.62
2.69,93.39,20.33,10.69
2.75,61.69,20.8,11.3
2.52,36.16,20.91,11.68
2,36.05,21.54,10.41
1.07,38.94,23.38,15.74
1.72,80.55,20.48,11.5
2.38,39.08,23.94,10.47
2.4,43.77,25.26,12.09
2.29,57.61,26.65,11.55
1,45.58,21.8,10.47
1.63,36.48,22.01,11.42
0.99,35.59,26.59,11.29
0.94,37.95,27.28,13.19
1.73,34.19,23.34,12.41
1.1,17.76,18.27,11.49
1.28,6.44,27.54,10.02
1.2,14.51,26.45,10.92
0.91,28.03,30.9,11.99
1.67,34.99,32.7,11.98
1.51,38.56,37,12.53
1.87,55.97,33.08,13.15
2.72,95.26,21.39,12.76
2.26,68.97,37.74,12.03
0.74,43.24,31.41,13.1
0.57,24.31,35.14,11.55
0.74,7.68,35.46,10.66
1.4,9.43,36.97,11.61
1.63,17.72,40.26,12.45
3.35,52.14,55.69,14.49
2.43,47.75,47.41,13.29
2.13,30.8,30.46,12.52
0.58,27.43,31.97,12.77
0.87,38.36,26.02,13.32
2.64,53.89,71.76,14.58
0.66,45.86,26.19,12.78
0.45,29.04,29.8,11.67
0.54,28.54,26.59,12.97
1,40.02,25.19,10.46
0.85,37.88,32.13,10.87
1.22,47.79,31.64,10.89
1.56,50.64,35.99,13.37
1.48,55.21,29.41,12.05
2.99,64.9,30.58,12.34
2.01,65.39,25.79,13.13
1.25,57.26,28.25,12.36
2.43,51.31,33.32,12.97
2.05,50.43,37.16,9.38
2.1,37.37,38.77,12.85
2.7,41.65,30.28,13.87
1.4,59.19,32.14,10.86
0.53,36.22,26.04,10.59
0.47,31.05,22.74,12.36
0.85,32.96,23.67,11.21
0.47,28.42,19.31,12.32
0.41,22.17,22.16,10.25
1.04,29.69,28.4,11.44
2.26,30.52,18.35,12.87
1.29,31.67,20.88,13.35
1.06,41.44,20.89,12.78
0.78,21.47,19.95,8.24
0.74,33.16,23.42,12.88
1.59,51.2,23.76,11.16
1.12,38.39,20.11,9.97
0.62,32.48,20.82,9.37
0.98,40.9,18.64,10.27
1.74,27.17,22.96,11.43
2.15,5.73,31.44,10.73
1.84,68.6,19.64,10.69
0.68,18.59,21.1,9.68
2.35,16.56,25.54,13.42
2.05,17.33,42.52,14.3
2.14,9.43,31.66,14.92
1.95,12.99,40.61,12.62
0.9,67.22,24.4,12.31
1.08,72.77,15.92,14.34
0.77,52.52,19.77,13.03
0.74,44.4,16.71,11.12
0.39,28,20.09,10.65
0.77,40.81,21.44,11.42
1.24,51.53,26,13.7
3.59,64.55,21.52,12.78
0.25,63.61,21.82,14.14
0.72,36.29,22.54,10.95
0.85,40.25,23.11,11.88
0.95,43.73,16.77,13.41
0.93,28.75,25.8,11.84
1.11,38.38,26.94,12.27
0.68,31.87,29.56,9.96
0.55,27.83,24.86,10.46
1.82,45.02,19.94,12.08
2.37,74.14,15.53,12.1
0.41,12.95,24.62,11.12
0.55,11.64,26.44,16.18
1.38,49,22.08,11.74
2.58,65.05,21.42,13.47
3.12,99,12.56,13.42
0.54,47.33,14.28,11.5
0.38,5.67,17.06,10.57
0.27,35.49,25.8,10.3
0.66,34.56,17.11,10.46
1.36,36.71,19.46,10.57
0.78,29.31,19.77,10.42
0.67,44.8,22.05,10.37
2.18,65.35,22.71,11.92
2.17,67.53,20.97,11.43
0.63,35.64,21.06,10.89
1.46,42.83,17.73,12.05
0.65,42.24,18.41,11.05
0.73,51.08,20.34,10.41
0.88,65.65,20.88,11.67
1.6,81.06,19.73,10.76
0.78,81.04,20.39,11.49
0.44,41.16,23.05,12.04
0.33,30.15,29.09,10.71
0.35,37.76,25,12.48
0.52,71.73,21.53,11.2
1.29,90.3,20.09,12.61
0.56,74.6,21.78,12.09
1.29,96.36,22.42,11.88
0.45,51.33,29.83,11.74
0.36,42.33,20.83,10.45
0.36,42.25,14.09,11.31
1.14,55.55,15.84,11.8
0.47,46.72,16.33,10.89
0.64,52.96,19.93,10.45
0.92,61.15,16.81,11.26
0.9,53.09,21.48,10.08
0.4,35.61,21.34,10.54
0.28,26.06,22.16,9.76
0.2,26.34,18.63,10.77
1.35,41.29,21.42,11.96
0.72,37.06,27.57,11.72
0.95,42.57,22.84,10.51
0.33,29.66,19.29,10.54
0.21,24.65,21,10.36
0.38,23.41,43.42,11.71
1.16,24.83,10.84,13.58
0.42,17.54,8.03,14.16
0.98,32.47,7.99,14.67
0.33,30,8.02,13.26
0.21,21.88,17.52,14.21
0.75,44.01,37.29,14.87
0.31,45.91,27.42,11.83
0.52,55.93,32.95,11.34
0.36,59.77,38.28,11.86
0.56,61.79,44.79,13.05
0.87,67.51,45.83,13.75
0.86,69.49,42.34,15.76
0.65,83.76,50.9,19.06
0.65,65.74,48.4,17.67
1.05,64.77,42.69,16.03
0.35,26.53,61.18,13.99
0.74,41.99,39.34,15.95
0.32,21.99,36.19,11.91
0.32,13.78,40.45,13.26
0.3,14.94,33.3,12.16
0.16,12.92,42,10.73
0.19,11.22,51.01,11.5
0.23,12.22,62.17,12.8
0.25,14.94,62.77,14.31
0.32,11.47,62.12,15.45
0.38,8.4,63.34,13.23
0.72,15.67,74.79,9.51
